date,traffic
04/06/2023 02:45,206.981
04/06/2023 03:00,212.301
04/06/2023 03:15,206.664
04/06/2023 03:30,212.922
04/06/2023 03:45,207.679
04/06/2023 04:00,202.47
04/06/2023 04:15,219.634
04/06/2023 04:30,239.101
04/06/2023 04:45,270.368
04/06/2023 05:00,344.253
04/06/2023 05:15,434.039
04/06/2023 05:30,600.527
04/06/2023 05:45,777.436
04/06/2023 06:00,1052.47
04/06/2023 06:15,1298.661
04/06/2023 06:30,1619.056
04/06/2023 06:45,1878.083
04/06/2023 07:00,2230.127
04/06/2023 07:15,2515.108
04/06/2023 07:30,2843.933
04/06/2023 07:45,3200
04/06/2023 08:00,3611.361
04/06/2023 08:15,3980.19
04/06/2023 08:30,4246.975
04/06/2023 08:45,4639.3
04/06/2023 09:00,4959.183
04/06/2023 09:15,5214.552
04/06/2023 09:30,5502.012
04/06/2023 09:45,5603.038
04/06/2023 10:00,5731.708
04/06/2023 10:15,5795.41
04/06/2023 10:30,5710.813
04/06/2023 10:45,5709.082
04/06/2023 11:00,5744.713
04/06/2023 11:15,5687.154
04/06/2023 11:30,5545.882
04/06/2023 11:45,5510.695
04/06/2023 12:00,5538.268
04/06/2023 12:15,5515.917
04/06/2023 12:30,5458.453
04/06/2023 12:45,5317.376
04/06/2023 13:00,5253.654
04/06/2023 13:15,5192.234
04/06/2023 13:30,5023.301
04/06/2023 13:45,5032.188
04/06/2023 14:00,5012.883
04/06/2023 14:15,4891.498
04/06/2023 14:30,4934.029
04/06/2023 14:45,4900.434
04/06/2023 15:00,5015.354
04/06/2023 15:15,4900.943
04/06/2023 15:30,4921.024
04/06/2023 15:45,4964.515
04/06/2023 16:00,4976.385
04/06/2023 16:15,4983.447
04/06/2023 16:30,5040.173
04/06/2023 16:45,5057.104
04/06/2023 17:00,5121.195
04/06/2023 17:15,5215.556
04/06/2023 17:30,5146.667
04/06/2023 17:45,5100.64
04/06/2023 18:00,5057.774
04/06/2023 18:15,5009.735
04/06/2023 18:30,5061.682
04/06/2023 18:45,5064.781
04/06/2023 19:00,5140.362
04/06/2023 19:15,5081.75
04/06/2023 19:30,5131.861
04/06/2023 19:45,5199.663
04/06/2023 20:00,5146.104
04/06/2023 20:15,4773.026
04/06/2023 20:30,4412.038
04/06/2023 20:45,3990.623
04/06/2023 21:00,3623.736
04/06/2023 21:15,3282.009
04/06/2023 21:30,2907.78
04/06/2023 21:45,2457.773
04/06/2023 22:00,2196.568
04/06/2023 22:15,1941.344
04/06/2023 22:30,1671.132
04/06/2023 22:45,1435.752
04/06/2023 23:00,1238.294
04/06/2023 23:15,1073.39
04/06/2023 23:30,919.764
04/06/2023 23:45,807.619
05/06/2023 00:00,727.103
05/06/2023 00:15,638.682
05/06/2023 00:30,599.041
05/06/2023 00:45,517.281
05/06/2023 01:00,456.641
05/06/2023 01:15,408.552
05/06/2023 01:30,355.847
05/06/2023 01:45,325.48
05/06/2023 02:00,299.761
05/06/2023 02:15,275.396
05/06/2023 02:30,267.526
05/06/2023 02:45,265.089
05/06/2023 03:00,253.807
05/06/2023 03:15,248.048
05/06/2023 03:30,249.94
05/06/2023 03:45,240.846
05/06/2023 04:00,266.37
05/06/2023 04:15,267.198
05/06/2023 04:30,265.813
05/06/2023 04:45,302.466
05/06/2023 05:00,354.562
05/06/2023 05:15,442.048
05/06/2023 05:30,596.789
05/06/2023 05:45,793.519
05/06/2023 06:00,1061.258
05/06/2023 06:15,1334.539
05/06/2023 06:30,1662.211
05/06/2023 06:45,1951.125
05/06/2023 07:00,2314.378
05/06/2023 07:15,2677.511
05/06/2023 07:30,3060.486
05/06/2023 07:45,3465.423
05/06/2023 08:00,4117.802
05/06/2023 08:15,4624.278
05/06/2023 08:30,5091.334
05/06/2023 08:45,5447.853
05/06/2023 09:00,5843.71
05/06/2023 09:15,6146.774
05/06/2023 09:30,6462.706
05/06/2023 09:45,6617.645
05/06/2023 10:00,6864.074
05/06/2023 10:15,6863.565
05/06/2023 10:30,6875.734
05/06/2023 10:45,6831.43
05/06/2023 11:00,6880.361
05/06/2023 11:15,6784.452
05/06/2023 11:30,6776.36
05/06/2023 11:45,6700.687
05/06/2023 12:00,6558.124
05/06/2023 12:15,6452.239
05/06/2023 12:30,6266.247
05/06/2023 12:45,6129.253
05/06/2023 13:00,6059.412
05/06/2023 13:15,6066.854
05/06/2023 13:30,6050.677
05/06/2023 13:45,5978.21
05/06/2023 14:00,5904.717
05/06/2023 14:15,5896.784
05/06/2023 14:30,5854.277
05/06/2023 14:45,5808.134
05/06/2023 15:00,5863.489
05/06/2023 15:15,5878.837
05/06/2023 15:30,5769.287
05/06/2023 15:45,5909.922
05/06/2023 16:00,5995.879
05/06/2023 16:15,6047.558
05/06/2023 16:30,6080.127
05/06/2023 16:45,6132.469
05/06/2023 17:00,6165.716
05/06/2023 17:15,6189.25
05/06/2023 17:30,6035.054
05/06/2023 17:45,5920.469
05/06/2023 18:00,5918.89
05/06/2023 18:15,5847.342
05/06/2023 18:30,5784.269
05/06/2023 18:45,5785.769
05/06/2023 19:00,5832.569
05/06/2023 19:15,5772.438
05/06/2023 19:30,5701.192
05/06/2023 19:45,5514.88
05/06/2023 20:00,5435.185
05/06/2023 20:15,5176.719
05/06/2023 20:30,4685.755
05/06/2023 20:45,4320.605
05/06/2023 21:00,3893.128
05/06/2023 21:15,3441.392
05/06/2023 21:30,3065.524
05/06/2023 21:45,2599.1
05/06/2023 22:00,2239.484
05/06/2023 22:15,1962.228
05/06/2023 22:30,1685.418
05/06/2023 22:45,1451.389
05/06/2023 23:00,1258.151
05/06/2023 23:15,1100.323
05/06/2023 23:30,916.63
05/06/2023 23:45,786.941
06/06/2023 00:00,712.303
06/06/2023 00:15,621.693
06/06/2023 00:30,501.32
06/06/2023 00:45,450.627
06/06/2023 01:00,418.216
06/06/2023 01:15,376.726
06/06/2023 01:30,318.414
06/06/2023 01:45,301.63
06/06/2023 02:00,288.48
06/06/2023 02:15,258.387
06/06/2023 02:30,245.806
06/06/2023 02:45,220.297
06/06/2023 03:00,204.352
06/06/2023 03:15,201.33
06/06/2023 03:30,197.158
06/06/2023 03:45,202.008
06/06/2023 04:00,218.086
06/06/2023 04:15,231.047
06/06/2023 04:30,251.186
06/06/2023 04:45,289.987
06/06/2023 05:00,375.468
06/06/2023 05:15,492.307
06/06/2023 05:30,671.389
06/06/2023 05:45,923.379
06/06/2023 06:00,1281.187
06/06/2023 06:15,1617.187
06/06/2023 06:30,1990.87
06/06/2023 06:45,2351.11
06/06/2023 07:00,2932.065
06/06/2023 07:15,3399.262
06/06/2023 07:30,3894.651
06/06/2023 07:45,4442.593
06/06/2023 08:00,5062.936
06/06/2023 08:15,5644.578
06/06/2023 08:30,6347.905
06/06/2023 08:45,6928.546
06/06/2023 09:00,7603.267
06/06/2023 09:15,7963.059
06/06/2023 09:30,8275.421
06/06/2023 09:45,8347.277
06/06/2023 10:00,8768.576
06/06/2023 10:15,8595.277
06/06/2023 10:30,8547.896
06/06/2023 10:45,8592.928
06/06/2023 11:00,8629.012
06/06/2023 11:15,8530.93
06/06/2023 11:30,8523.362
06/06/2023 11:45,8309.346
06/06/2023 12:00,7837.938
06/06/2023 12:15,7581.689
06/06/2023 12:30,7449.867
06/06/2023 12:45,7271.268
06/06/2023 13:00,7484.054
06/06/2023 13:15,7767.203
06/06/2023 13:30,7850.522
06/06/2023 13:45,7847.08
06/06/2023 14:00,7843.564
06/06/2023 14:15,7749.88
06/06/2023 14:30,7699.65
06/06/2023 14:45,7697.96
06/06/2023 15:00,7931.351
06/06/2023 15:15,7975.744
06/06/2023 15:30,8084.508
06/06/2023 15:45,8075.42
06/06/2023 16:00,8178.8
